Title,Author,Published date,Foramt,Price
Weapons of Math Destruction,Cathy O'Neil,2017-07-06,Paperback,"49,78 L"
Big Data,Viktor Mayer-Schönberger,2014-03-04,Paperback,
Big Data,Viktor Mayer-Schönberger,2017-01-12,Paperback,:
Big Data,Brian Clegg,2017-10-10,Paperback,"61,81 L"
"Big Data - Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",BB Marr,2015-03-02,Paperback,"77,31 L"
Big Data: A Very Short Introduction,Dawn E. Holmes,2018-01-30,Paperback,"61,86 L"
Everybody Lies,Seth Stephens-Davidowitz,2017-05-09,Hardback,
Big Data in Practice (use cases) - How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,BB Marr,2016-05-02,Hardback,:
Big Data For Dummies,JS Hurwitz,2013-04-19,Paperback,"73,06 L"
Big Data,Timandra Harkness,2017-08-29,Paperback,"37,43 L"
"Data Science & Big Data Analytics - Discovering, A nalyzing, Visualizing and Presenting Data",EMC Education S,2015-03-17,Hardback,
The Art of Invisibility,Kevin D. Mitnick,2019-09-26,Paperback,:
"Big Data, Big Dupe",Stephen Few,2018-02-01,Paperback,"58,67 L"
Life After Google,George Gilder,2018-08-02,Hardback,"67,73 L"
Spark - The Definitive Guide,Bill Chambers,2018-04-03,Paperback,
Big Data Fundamentals,Thomas Erl,2016-01-15,Paperback,:
Big Data Baseball,Travis Sawchik,2016-05-03,Paperback,"99,66 L"
Loyalty 3.0: How to Revolutionize Customer and Employee Engagement with Big Data and Gamification,Rajat Paharia,2013-07-01,Hardback,"45,77 L"
Statistics For Big Data For Dummies,A Anderson,2015-09-08,Paperback,
Weapons of Math Destruction,Cathy O'Neil,2017-09-05,Paperback,:
"Privacy, Big Data, and the Public Good",Julia Lane,2018-11-23,Paperback,"54,14 L"
Reinventing Capitalism in the Age of Big Data,Viktor Mayer-Schönberger,2019-01-24,Paperback,"73,85 L"
The Rise of Big Data Policing,Andrew Guthrie Ferguson,2017-10-03,Hardback,
Big Data MBA - Driving Business Strategies with Data Science,B Schmarzo,2017-10-03,Paperback,:
Smart Cities,Anthony M. Townsend,2014-11-17,Paperback,"131,33 L"
Big Data and Machine Learning in Quantitative Investment,T Guida,2019-03-25,Hardback,"203,92 L"
Analytics in a Big Data World - The Essential Guide to Data Science and its Applications,B Baesens,2014-07-01,Hardback,"142,63 L"
"The Big Data-Driven Business - How to Use Big Data to Win Customers, Beat Competitors, and Boost Profits",R Glass,2015-01-20,Hardback,
Ethics of Big Data,Kord Davis,2012-11-07,Paperback,:
Too Big to Ignore - The Business Case for Big Data,P Simon,2015-12-04,Paperback,"158,51 L"
