Product Name,Price,Discount,Link
iPhone 13,"RM 2,699","RM 1,000",https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-13
iPhone 12 Pro Max,"RM 2,749","RM 1,750",https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-12-pro-max
Galaxy S22 Ultra 5G,"RM 3,049","RM 1,650",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s22-ultra-5g
Huawei Mate 50 Pro,"RM 3,399","RM 1,500",https://shop.compasia.com/collections/samsung/collections/samsung/products/huawei-mate-50-pro
iPhone 13 Pro,"RM 3,699","RM 1,600",https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-13-pro
iPhone 13 Pro Max,"RM 4,039","RM 1,260",https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-13-pro-max
iPhone 14 Pro -  Hot Deals,"RM 4,149",RM 850,https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-14-pro-hot-deals
iPhone 14 Pro,"RM 4,349","RM 2,050",https://shop.compasia.com/collections/samsung/collections/samsung/products/iphone-14-pro
Galaxy Z Fold4 5G,"RM 1,249",RM 650,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-z-fold4-5g
Galaxy Note 10 Plus,RM 829,RM 570,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-note-10-plus
Galaxy S10 Plus,"RM 1,749","RM 1,550",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s10-plus
Galaxy Note 20 Ultra 5G,"RM 2,149",RM 980,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-note-20-ultra-5g
Galaxy S21 Ultra 5G,RM 649,RM 550,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s21-ultra-5g
Galaxy S10,RM 749,RM 550,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s10
Galaxy Note 9,"RM 1,049",RM 500,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-note-9
Galaxy Note 10,"RM 1,899","RM 1,000",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-note-10
Galaxy Z Flip3 5G,RM 499,RM 451,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-z-flip3
Galaxy S9 Plus,"RM 1,549",RM 750,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s9-plus
Galaxy S21 5G,"RM 1,199","RM 1,000",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s21-5g
Galaxy S20 Plus,"RM 1,749","RM 1,150",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s20-plus
Galaxy S21 Plus 5G,"RM 3,049","RM 1,650",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s21-plus-5g
Galaxy S22 Ultra 5G,"RM 1,149",RM 670,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s22-ultra-5g
Galaxy S20 FE 5G,RM 899,RM 500,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s20-fe-5g
Galaxy Note 10 Lite,"RM 2,149",RM 950,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-note-10-lite
Galaxy S22 5G,"RM 1,899","RM 1,100",https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s22-5g
Galaxy S20 Ultra 5G,"RM 1,499",RM 800,https://shop.compasia.com/collections/samsung/collections/samsung/products/copy-of-galaxy-s20-ultra
Galaxy S21 FE 5G,RM 299,RM 200,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s21-fe-5g
Galaxy A04,"RM 1,399",RM 800,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-a04
Galaxy A73 5G,RM 949,RM 550,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-a73-5g
Galaxy S10 Lite,RM 849,RM 50,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s10-lite
Samsung Galaxy Watch 5 (Bluetooth) - Aluminium,"RM 2,649",RM 750,https://shop.compasia.com/collections/samsung/collections/samsung/products/samsung-galaxy-watch-5-wifi-aluminium
Galaxy S22 Plus 5G,"RM 1,099",RM 720,https://shop.compasia.com/collections/samsung/collections/samsung/products/galaxy-s22-plus
