Name,Year,Rating,M_score,Votes
Răzbunătorii: Sfârșitul jocului,2019,8.4,78.0,1164160
Omul-Păianjen: Niciun Drum Spre Casă,2021,8.2,71.0,783198
Top Gun: Maverick,2022,8.3,78.0,562764
Pantera neagră,2018,7.3,88.0,795688
Răzbunătorii: Războiul infinitului,2018,8.4,68.0,1109013
Avatar: The Way of Water,2022,7.7,67.0,340865
Incredibilii 2,2018,7.6,80.0,305892
Regele Leu,2019,6.8,,251393
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,,462499
Regatul de gheaţă 2,2019,6.8,64.0,179225
Pantera Neagră: Wakanda pentru totdeauna,2022,6.7,67.0,251622
Povestea jucăriilor 4,2019,7.7,84.0,258870
Captain Marvel,2019,6.8,64.0,573569
Jurassic World: Un regat în ruina,2018,6.1,,324643
Doctor Strange în Multiversul Nebuniei,2022,6.9,,432292
Omul-Păianjen: Departe de casă,2019,7.4,69.0,508849
Jurassic World: Dominion,2022,5.6,,178810
Minionii 2,2022,6.5,,71852
Batman,2022,7.8,72.0,688772
Aladdin,2019,6.9,,272934
Thor: Iubire și Tunete,2022,6.3,,354733
Joker,I) (2019,8.4,,1333604
Aquaman,2018,6.8,,486275
Deadpool 2,2018,7.7,66.0,598160
Jumanji: Nivelul Următor,2019,6.7,,259873
Grinch,2018,6.4,,77420
Shang-Chi și legenda celor zece inele,2021,7.4,71.0,395979
Misiune: Imposibila. Declinul,2018,7.7,86.0,341663
Omul Furnica si Viespea,2018,7.0,70.0,419043
Bohemian Rhapsody,2018,7.9,,551159
S-a nascut o stea,2018,7.6,88.0,394523
Solo: O poveste Star Wars,2018,6.9,62.0,356815
Venom: Să Fie Carnagiu,2021,5.9,,233581
Venom,2018,6.6,,499186
It Chapter Two,2019,6.5,,275886
Băieţi răi 3,2020,6.5,,165478
Ralph rupe netu',2018,7.0,71.0,167419
Sonic the Hedgehog 2,2022,6.5,,72084
Omul-Păianjen: În lumea păianjenului,2018,8.4,87.0,551421
Fără zgomot,2018,7.5,82.0,544278
Văduva neagră,2021,6.7,68.0,391566
Noi,II) (2019,6.8,81.0,311079
Crazy Rich Asians,2018,6.9,74.0,178474
Fast & Furious Presents: Hobbs & Shaw,2019,6.5,,219155
Furios și iute 9,2021,5.2,,139404
Mary Poppins revine,2018,6.7,66.0,90661
John Wick: Chapter 3 - Parabellum,2019,7.4,73.0,372161
Puss in Boots: The Last Wish,2022,7.9,73.0,111832
Adam întunecatul,2022,6.3,,237527
Hotel Transilvania 3: Monștrii în vacanță,2018,6.3,,77732
La cuțite,2019,7.9,82.0,718831
Eternals,2021,6.3,,353702
Hai să cântăm din nou!,2021,7.4,,73530
Nu e vreme de murit,2021,7.3,68.0,414069
Cum să-ţi dresezi dragonul 3,2019,7.4,71.0,135624
Fără zgomot 2,2020,7.2,71.0,242513
Animale Fantastice: Crimele lui Grindelwald,2018,6.5,,291325
Halloween,I) (2018,6.5,67.0,159305
1917: Speranță și moarte,2019,8.2,78.0,612198
Singuri acasă 2,2019,6.4,,64544
Elvis,2022,7.3,64.0,202315
Sonic the Hedgehog,2020,6.5,,144634
Uncharted,2022,6.3,,223068
Pokémon: Detectiv Pikachu,2019,6.5,,168596
MEG: Confruntare în adâncuri,2018,5.6,,176348
A fost odată... la Hollywood,2019,7.6,83.0,767923
Shazam!,2019,7.0,71.0,355517
Ocean's 8: Jaf cu clasa,2018,6.3,61.0,226720
Ready Player One: Să înceapă jocul,2018,7.4,64.0,448543
Vânătorii de Fantome: Moștenirea,2021,7.1,,189785
Bumblebee,I) (2018,6.7,66.0,171590
Nope,2022,6.8,77.0,213206
Free Guy,2021,7.1,62.0,384001
Mamma Mia! O luam de la capat,2018,6.6,,99319
Lightyear,2022,6.1,,111458
Marea provocare: Le Mans '66,2019,8.1,81.0,410763
Calugarita: Misterul de la manastire,2018,5.3,,146189
Croazieră în junglă,2021,6.6,,197362
Creed II,2018,7.1,66.0,140455
Peter Iepurasul,2018,6.6,,44751
Dumbo,2019,6.3,,78458
Maleficent 2: Suverana Răului,2019,6.6,,109486
Domnul Glass,2019,6.6,,251135
Godzilla II: Regele monștrilor,2019,6.0,,188454
Dune,2021,8.0,74.0,660652
Fiicele doctorului March,2019,7.8,91.0,215694
Marea Aventura Lego 2,2019,6.6,65.0,69846
Orașul Pierdut,2022,6.1,,131187
Hustlers: Striptease pe Wall Street,2019,6.3,79.0,103110
Curierul traficantilor,2018,7.0,,141885
Trenul Asasinilor,2022,7.3,,332584
The Equalizer 2,2018,6.7,,166853
Rampage: Scapati de sub control,2018,6.1,,173517
Godzilla vs. Kong,2021,6.3,,216928
A Wrinkle in Time,2018,4.2,,46070
Cincizeci de umbre descatusate,2018,4.5,,68384
Familia Addams,2019,5.8,,42224
Christopher Robin,2018,7.2,,80303
Băieții răi,2022,6.8,64.0,46744
Downton Abbey,2019,7.4,64.0,58780
Rocketman,I) (2019,7.3,69.0,180519
Encanto,2021,7.2,75.0,232713
Animale fantastice: Secretele lui Dumbledore,2022,6.2,,149993
M3GAN,2022,6.4,72.0,90008
Gașca Animăluțelor DC,2022,7.2,,67625
Halloween Kills,2021,5.5,,89629
Acolo unde cântă racii,2022,7.2,,89913
Telefonul negru,2021,6.9,65.0,160690
Cruella,2021,7.3,,241700
Alita: Îngerul razboinic,2019,7.3,,276233
Green Book: O prietenie pe viață,2018,8.2,69.0,511258
Păsări de pradă și fantastica Harley Quinn,2020,6.0,,246556
I Can Only Imagine,2018,7.3,,16875
Aventurile lui Smallfoot,2018,6.6,,40981
Băieți buni,2019,6.7,,76385
Scream,I) (2022,6.3,,129982
Bărbaţi în Negru Internaţional,2019,5.6,,138377
Loserii de la seral,2018,5.6,,42080
Dolittle,2020,5.6,,66739
Annabelle Comes Home,2019,5.9,,79066
Morbius,2022,5.2,,134048
Yesterday,III) (2019,6.8,,157829
A Madea Family Funeral,2019,4.6,,4707
Zombieland: Rundă dublă,2019,6.7,,186543
"Orice, oriunde, oricând",2022,7.9,81.0,416586
Space Jam 2: O nouă eră,2021,4.5,,74675
Omul invizibil,I) (2020,7.1,72.0,235088
Noaptea judecății: Începutul,2018,5.2,,65982
Jocul de-a detectivii,I) (2018,6.9,66.0,241357
Angel Has Fallen,2019,6.4,,101913
Povești de groază de spus pe întuneric,2019,6.2,61.0,79390
Clubul femeilor dezlantuite,I) (2018,6.1,,29119
Misterul ceasului din perete,2018,6.0,,53120
Infernul din zgârie-nori,2018,5.8,,125841
Bilet pentru paradis,2022,6.2,,44786
Insidios: Ultima cheie,2018,5.7,,62976
Familie de-a gata,2018,7.3,,110908
Femeia rege,2022,6.8,77.0,57257
Spioni deghizati,2019,6.8,,51856
Dark Phoenix,2019,5.7,,192637
Trăind printre demoni 3,2021,6.3,,121988
A Man Called Otto,2022,7.4,,52393
Chemarea străbunilor,2020,6.7,,51880
Terminator: Dark Fate,2019,6.2,,182876
A Beautiful Day in the Neighborhood,2019,7.2,80.0,83389
Tot înainte,I) (2020,7.4,61.0,155295
Yeti - Omul Zăpezilor,2019,7.0,61.0,40167
Dora and the Lost City of Gold,2019,6.1,63.0,32045
Interzis la ... sex,2018,6.2,69.0,81545
Pacific Rim 2: Revolta,2018,5.6,,120421
